Name,IGN,No. of Match,Total Rounds,Won Rounds,Lost Rounds,ACS,ADR,Total Kills,Total Deaths,Total Assist,Avg K/D,Kills/Rounds,Avg Kast %,Avg HS%,Win %,First Kills,First Death,Multi Kills,First Kill Average,First Death Average,Multi Kills Average,Discord,Twitter,RR
Elite,EL1TE 悪魔#0E3E0,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,el1te6187,,408
Cr7,1tachi#Dream,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,1tachi1313,,394
Nomercy,NoMeRcY#2609,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,_mercy_7,,434
Sumit,ToXicSumit#1DAY,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,toxicsumit,,262
Camo,Cam0fps#IND,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,cam0fps,,270
Klad,AVT Kladenstein#on yt,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,kladenstienyt,,302
Twix,,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,mk0997,,
Skerp,ACE Skerp#meoww,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,skerp7084,,204
d3xt3r2,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
